timestamp,wp_index,goal_x,goal_y,current_x,current_y,current_yaw_rad,distance_error,heading_error_rad,cmd_linear_x,cmd_angular_z
4103.7297,1,0.2020,-2.4710,-0.2332,-1.1098,1.8981,1.4291,3.1237,0.0000,0.7809
4103.7300,1,0.2020,-2.4710,-0.2332,-1.1098,1.8981,1.4291,3.1237,0.0000,0.7809
4103.7301,1,0.2020,-2.4710,-0.2332,-1.1098,1.8981,1.4291,3.1237,0.0000,0.7809
4103.7439,1,0.2020,-2.4710,-0.2332,-1.1098,1.8981,1.4291,3.1237,0.0000,0.7809
4103.7606,1,0.2020,-2.4710,-0.2332,-1.1098,1.8981,1.4291,3.1237,0.0000,0.7809
4103.7773,1,0.2020,-2.4710,-0.2332,-1.1098,1.8981,1.4291,3.1237,0.0000,0.7809
4103.7939,1,0.2020,-2.4710,-0.2332,-1.1098,1.8981,1.4291,3.1237,0.0000,0.7809
4103.8106,1,0.2020,-2.4710,-0.2332,-1.1098,1.8981,1.4291,3.1237,0.0000,0.7809
4103.8277,1,0.2020,-2.4710,-0.2332,-1.1098,1.8981,1.4291,3.1237,0.0000,0.7809
4103.8440,1,0.2020,-2.4710,-0.2332,-1.1098,1.8981,1.4291,3.1237,0.0000,0.7809
4103.8606,1,0.2020,-2.4710,-0.2332,-1.1098,1.8981,1.4291,3.1237,0.0000,0.7809
4103.8773,1,0.2020,-2.4710,-0.2332,-1.1098,1.8981,1.4291,3.1237,0.0000,0.7809
4103.8939,1,0.2020,-2.4710,-0.2332,-1.1098,1.8981,1.4291,3.1237,0.0000,0.7809
4103.9106,1,0.2020,-2.4710,-0.2332,-1.1098,1.8981,1.4291,3.1237,0.0000,0.7809
4103.9276,1,0.2020,-2.4710,-0.2332,-1.1098,1.8981,1.4291,3.1237,0.0000,0.7809
4103.9440,1,0.2020,-2.4710,-0.2332,-1.1098,1.8981,1.4291,3.1237,0.0000,0.7809
4103.9606,1,0.2020,-2.4710,-0.2332,-1.1098,1.8981,1.4291,3.1237,0.0000,0.7809
4103.9772,1,0.2020,-2.4710,-0.2332,-1.1098,1.8981,1.4291,3.1237,0.0000,0.7809
