timestamp,wp_index,goal_x,goal_y,current_x,current_y,current_yaw_rad,distance_error,heading_error_rad,cmd_linear_x,cmd_angular_z
4236.4855,1,0.2020,-2.4710,0.0766,-0.8708,-1.8249,1.6051,0.3323,0.0000,0.0831
4236.4857,1,0.2020,-2.4710,0.0766,-0.8708,-1.8249,1.6051,0.3323,0.0000,0.0831
4236.4873,1,0.2020,-2.4710,0.0766,-0.8708,-1.8249,1.6051,0.3323,0.0000,0.0831
4236.5040,1,0.2020,-2.4710,0.0766,-0.8708,-1.8249,1.6051,0.3323,0.0000,0.0831
4236.5206,1,0.2020,-2.4710,0.0766,-0.8708,-1.8249,1.6051,0.3323,0.0000,0.0831
4236.5373,1,0.2020,-2.4710,0.0766,-0.8708,-1.8250,1.6051,0.3323,0.0000,0.0831
4236.5545,1,0.2020,-2.4710,0.0766,-0.8708,-1.8249,1.6051,0.3323,0.0000,0.0831
4236.5707,1,0.2020,-2.4710,0.0766,-0.8707,-1.8249,1.6052,0.3323,0.0000,0.0831
4236.5874,1,0.2020,-2.4710,0.0766,-0.8708,-1.8250,1.6051,0.3323,0.0000,0.0831
4236.6040,1,0.2020,-2.4710,0.0766,-0.8708,-1.8250,1.6051,0.3324,0.0000,0.0831
4236.6206,1,0.2020,-2.4710,0.0766,-0.8707,-1.8249,1.6052,0.3323,0.0000,0.0831
4236.6373,1,0.2020,-2.4710,0.0766,-0.8707,-1.8249,1.6052,0.3323,0.0000,0.0831
4236.6540,1,0.2020,-2.4710,0.0766,-0.8707,-1.8249,1.6052,0.3323,0.0000,0.0831
4236.6707,1,0.2020,-2.4710,0.0766,-0.8707,-1.8249,1.6052,0.3323,0.0000,0.0831
4236.6873,1,0.2020,-2.4710,0.0766,-0.8707,-1.8249,1.6052,0.3323,0.0000,0.0831
4236.7040,1,0.2020,-2.4710,0.0766,-0.8707,-1.8249,1.6052,0.3323,0.0000,0.0831
4236.7207,1,0.2020,-2.4710,0.0766,-0.8707,-1.8249,1.6052,0.3323,0.0000,0.0831
4236.7373,1,0.2020,-2.4710,0.0766,-0.8708,-1.8249,1.6051,0.3323,0.0000,0.0831
4236.7540,1,0.2020,-2.4710,0.0766,-0.8707,-1.8249,1.6052,0.3323,0.0000,0.0831
4236.7707,1,0.2020,-2.4710,0.0766,-0.8708,-1.8250,1.6051,0.3323,0.0000,0.0831
4236.7873,1,0.2020,-2.4710,0.0766,-0.8708,-1.8249,1.6052,0.3323,0.0000,0.0831
4236.8040,1,0.2020,-2.4710,0.0766,-0.8708,-1.8248,1.6051,0.3322,0.0000,0.0831
4236.8206,1,0.2020,-2.4710,0.0766,-0.8709,-1.8243,1.6050,0.3317,0.0000,0.0829
4236.8373,1,0.2020,-2.4710,0.0764,-0.8712,-1.8235,1.6047,0.3310,0.0000,0.0828
4236.8540,1,0.2020,-2.4710,0.0763,-0.8715,-1.8224,1.6044,0.3301,0.0000,0.0825
4236.8707,1,0.2020,-2.4710,0.0761,-0.8717,-1.8215,1.6043,0.3293,0.0000,0.0823
4236.8873,1,0.2020,-2.4710,0.0761,-0.8717,-1.8208,1.6042,0.3286,0.0000,0.0821
4236.9040,1,0.2020,-2.4710,0.0760,-0.8716,-1.8202,1.6044,0.3280,0.0000,0.0820
4236.9207,1,0.2020,-2.4710,0.0761,-0.8713,-1.8197,1.6047,0.3274,0.0000,0.0819
4236.9373,1,0.2020,-2.4710,0.0761,-0.8709,-1.8190,1.6051,0.3267,0.0000,0.0817
4236.9540,1,0.2020,-2.4710,0.0763,-0.8705,-1.8179,1.6055,0.3255,0.0000,0.0814
4236.9707,1,0.2020,-2.4710,0.0764,-0.8701,-1.8165,1.6058,0.3240,0.0000,0.0810
4236.9874,1,0.2020,-2.4710,0.0767,-0.8698,-1.8151,1.6061,0.3224,0.0000,0.0806
4237.0040,1,0.2020,-2.4710,0.0769,-0.8696,-1.8138,1.6063,0.3210,0.0000,0.0802
